Time Stamp,Number of cars
2024-07-03 22:40:03.704238,0
2024-07-03 22:40:10.074430,0
2024-07-03 22:40:16.422556,0
2024-07-03 22:40:22.843881,0
2024-07-03 22:40:29.809835,0
2024-07-03 22:40:36.746644,0
2024-07-03 22:40:43.702338,0
2024-07-03 22:40:50.629123,0
2024-07-03 22:40:57.477541,0
2024-07-03 22:41:04.454731,0
2024-07-03 22:41:11.416021,0
2024-07-03 22:41:18.359089,0
2024-07-03 22:41:25.323291,0
2024-07-03 22:41:32.263289,0
2024-07-03 22:41:39.210211,0
2024-07-03 22:41:46.130677,0
2024-07-03 22:41:53.036205,0
2024-07-03 22:41:59.981128,0
2024-07-03 22:42:07.042561,0
2024-07-03 22:42:14.074633,0
2024-07-03 22:42:21.032477,0
2024-07-03 22:42:27.927154,0
2024-07-03 22:42:34.785335,0
2024-07-03 22:42:41.708812,0
2024-07-03 22:42:48.649801,0
2024-07-03 22:42:55.565046,0
2024-07-03 22:43:02.424618,0
2024-07-03 22:43:09.451948,0
2024-07-03 22:43:16.342814,0
2024-07-03 22:43:23.207593,0
2024-07-03 22:43:30.147528,0
2024-07-03 22:43:37.082045,0
2024-07-03 22:43:44.011973,0
2024-07-03 22:43:50.932251,0
2024-07-03 22:43:57.858661,0
2024-07-03 22:44:04.860048,0
2024-07-03 22:44:11.805625,0
2024-07-03 22:44:18.702530,0
2024-07-03 22:44:25.628961,0
2024-07-03 22:44:32.568572,0
2024-07-03 22:44:39.513503,0
2024-07-03 22:44:46.450288,0
2024-07-03 22:44:53.381139,0
2024-07-03 22:45:00.330532,0
2024-07-03 22:45:07.406156,2
2024-07-03 22:45:14.404703,2
2024-07-03 22:45:21.351012,4
2024-07-03 22:45:28.283650,4
2024-07-03 22:45:35.163853,5
2024-07-03 22:45:42.093922,5
2024-07-03 22:45:49.041865,5
2024-07-03 22:45:55.936528,6
2024-07-03 22:46:02.883849,6
2024-07-03 22:46:09.836256,6
2024-07-03 22:46:16.892008,6
2024-07-03 22:46:23.837042,6
2024-07-03 22:46:30.768663,6
2024-07-03 22:46:37.677120,6
2024-07-03 22:46:44.597879,6
2024-07-03 22:46:51.551268,6
2024-07-03 22:46:58.508651,5
2024-07-03 22:47:05.439167,5
2024-07-03 22:47:12.409401,5
2024-07-03 22:47:19.433766,4
2024-07-03 22:47:26.289916,4
2024-07-03 22:47:33.244054,4
2024-07-03 22:47:40.152335,4
2024-07-03 22:47:47.103394,4
2024-07-03 22:47:53.955051,0
2024-07-03 22:48:00.889653,0
2024-07-03 22:48:07.849529,1
2024-07-03 22:48:14.768593,1
2024-07-03 22:48:21.757490,3
2024-07-03 22:48:28.687306,3
2024-07-03 22:48:35.640275,3
2024-07-03 22:48:42.520211,4
2024-07-03 22:48:49.458107,4
2024-07-03 22:48:56.329840,5
2024-07-03 22:49:03.248130,5
2024-07-03 22:49:10.189273,5
2024-07-03 22:49:17.128446,2
2024-07-07 21:31:28.345327,0
2024-07-07 21:31:34.728502,0
2024-07-07 21:31:41.095437,0
2024-07-07 21:31:47.471133,0
2024-07-07 21:31:53.808160,0
2024-07-07 21:32:00.156403,0
2024-07-07 21:32:06.529931,0
2024-07-07 21:32:12.854894,0
2024-07-07 21:32:19.204384,0
2024-07-07 21:32:25.540891,0
2024-07-07 21:32:31.873958,0
2024-07-07 21:32:38.244638,0
2024-07-07 21:32:44.576454,0
2024-07-07 21:32:50.906346,0
2024-07-07 21:32:57.235232,0
2024-07-07 21:33:03.560497,0
2024-07-07 21:33:19.596094,0
2024-07-07 21:33:25.954921,0
2024-07-07 21:33:38.952870,0
2024-07-07 21:33:45.285628,0
2024-07-07 21:33:51.660121,0
2024-07-07 21:34:02.994492,0
2024-07-07 21:34:05.342023,0
2024-07-07 21:34:07.695160,0
2024-07-07 21:34:10.031884,0
2024-07-07 21:34:12.351326,0
2024-07-07 21:34:14.674129,0
2024-07-07 21:34:17.002888,0
2024-07-07 21:34:19.319418,0
2024-07-07 21:34:21.633851,0
2024-07-07 21:34:23.954118,0
2024-07-07 21:34:26.305445,0
2024-07-07 21:34:28.640805,0
2024-07-07 21:34:31.038613,0
2024-07-07 21:34:33.389971,0
2024-07-07 21:34:35.723823,0
2024-07-07 21:34:38.046594,0
2024-07-07 21:34:40.400786,0
2024-07-07 21:34:53.872898,0
2024-07-07 21:34:56.191917,0
2024-07-07 21:34:58.537402,0
2024-07-07 21:35:00.898849,0
2024-07-07 21:35:03.253756,0
2024-07-07 21:35:05.631807,0
2024-07-07 21:35:08.018504,0
2024-07-07 21:35:10.346709,0
2024-07-07 21:35:12.679801,0
2024-07-07 21:35:15.013446,0
2024-07-07 21:35:17.350369,0
2024-07-07 21:35:19.688553,0
2024-07-07 21:35:22.082252,0
2024-07-07 21:35:24.456132,0
2024-07-07 21:35:26.817745,0
2024-07-07 21:35:29.187565,0
2024-07-07 21:35:31.562884,0
2024-07-07 21:35:33.909906,0
2024-07-07 21:35:36.310117,0
2024-07-07 21:35:38.764650,0
2024-07-07 21:35:41.137006,0
2024-07-07 21:35:43.503566,0
2024-07-07 21:35:45.861792,0
2024-07-07 21:35:48.226887,0
2024-07-07 21:35:50.561121,0
2024-07-07 21:35:52.892922,0
2024-07-07 21:35:55.250423,0
2024-07-07 21:35:57.585436,2
2024-07-07 21:36:00.248364,2
2024-07-07 21:36:02.612426,4
2024-07-07 21:36:04.958128,4
2024-07-07 21:36:07.311588,5
2024-07-07 21:36:09.671950,5
2024-07-07 21:36:12.034162,5
2024-07-07 21:36:14.401779,6
2024-07-07 21:36:16.801242,6
2024-07-07 21:36:19.182375,6
2024-07-07 21:36:21.582642,6
2024-07-07 21:36:23.959416,6
2024-07-07 21:36:26.298795,6
2024-07-07 21:36:28.641782,6
2024-07-07 21:36:30.980916,6
2024-07-07 21:36:33.319245,6
2024-07-07 21:36:35.660139,5
2024-07-07 21:36:38.004474,5
2024-07-07 21:36:40.357018,5
2024-07-07 21:36:42.708324,4
2024-07-07 21:36:45.052774,4
2024-07-07 21:36:47.402314,4
2024-07-07 21:36:49.782147,4
2024-07-07 21:36:52.114045,4
2024-07-07 21:36:54.430682,0
2024-07-07 21:36:56.792953,0
2024-07-07 21:36:59.111908,1
2024-07-07 21:37:01.508646,1
2024-07-07 21:37:03.859831,3
2024-07-07 21:37:06.216678,3
2024-07-07 21:37:08.586767,3
2024-07-07 21:37:10.926082,4
2024-07-07 21:37:13.239316,4
2024-07-07 21:37:18.142049,5
2024-07-07 21:37:20.023022,5
2024-07-07 21:37:21.332051,5
2024-07-07 21:37:22.656770,2
